cod_distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,fecha_month,fecha_day,hora_hour,hora_minute,sexo_Mujer,sexo_Hombre,sexo_Desconocido,tipo_vehiculo_movilidad_urbana_ligera,tipo_vehiculo_vehículos_ligeros_motorizados,tipo_vehiculo_vehículos_personales_y_utilitarios,tipo_vehiculo_transporte_pesado,tipo_vehiculo_remolques,tipo_vehiculo_sin_especificar,rango_edad_0,rango_edad_0-17,rango_edad_18-24,rango_edad_25-34,rango_edad_35-44,rango_edad_45-59,rango_edad_60+,tipo_persona_Conductor,tipo_persona_Pasajero,tipo_persona_Peatón,positiva_alcohol,cod_lesividad
16,6,3,444913.0,4481427.0,1,4,14,9,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1
1,6,3,440123.0,4475170.0,2,15,14,5,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2
7,7,0,440137.0,4475721.0,2,18,10,40,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
6,7,0,440709.0,4480102.0,2,25,17,20,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1
10,0,3,433983.0,4468473.0,3,7,14,25,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
9,4,6,437064.0,4478229.0,3,27,8,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,8,0,443927.0,4473998.0,1,1,1,20,4,5,0,0,0,9,0,0,0,0,0,1,6,0,2,0,4,5,0,0,1
13,4,0,443249.0,4471571.0,1,1,2,45,1,1,3,0,0,5,0,0,0,3,0,0,0,1,1,0,4,1,0,1,1
14,6,0,444513.0,4473729.0,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
11,5,0,436809.0,4469484.0,1,1,2,45,1,0,2,0,0,3,0,0,0,2,0,0,0,0,1,0,3,0,0,1,1
1,6,0,440193.0,4474773.0,1,1,7,20,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1
11,7,6,437002.0,4470046.0,1,1,8,5,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
4,2,0,442700.0,4475970.0,1,1,7,35,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2
7,4,0,441549.0,4475931.0,1,1,7,35,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1
9,8,5,439703.0,4479106.0,1,1,7,40,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
5,4,0,442268.0,4478258.0,1,1,12,25,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
11,0,0,437822.0,4471073.0,1,1,15,45,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1
11,6,0,437732.0,4470986.0,1,1,16,30,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2
13,4,0,443496.0,4472305.0,1,1,16,30,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
19,0,0,447084.0,4472972.0,1,1,16,35,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2
2,6,6,441147.0,4472907.0,1,1,18,20,3,3,0,0,0,6,0,0,0,0,1,0,2,1,2,0,2,4,0,0,1
